     time     force
  7.99599E-01  3.64037E+00
  8.01603E-01  3.64283E+00
  8.03607E-01  3.64527E+00
  8.05611E-01  3.64769E+00
  8.07615E-01  3.65011E+00
  8.09619E-01  3.65251E+00
  8.11623E-01  3.65490E+00
  8.13627E-01  3.65727E+00
  8.15631E-01  3.65963E+00
  8.17635E-01  3.66198E+00
  8.19639E-01  3.66432E+00
  8.21643E-01  3.66665E+00
  8.23647E-01  3.66896E+00
  8.25651E-01  3.67126E+00
  8.27655E-01  3.67355E+00
  8.29659E-01  3.67582E+00
  8.31663E-01  3.67809E+00
  8.33667E-01  3.68034E+00
  8.35671E-01  3.68258E+00
  8.37675E-01  3.68480E+00
  8.39679E-01  3.68702E+00
  8.41683E-01  3.68922E+00
  8.43687E-01  3.69142E+00
  8.45691E-01  3.69360E+00
  8.47695E-01  3.69577E+00
  8.49699E-01  3.69792E+00
  8.51703E-01  3.70007E+00
  8.53707E-01  3.70220E+00
  8.55711E-01  3.70433E+00
  8.57715E-01  3.70644E+00
  8.59719E-01  3.70854E+00
  8.61723E-01  3.71063E+00
  8.63727E-01  3.71270E+00
  8.65731E-01  3.71477E+00
  8.67736E-01  3.71683E+00
  8.69739E-01  3.71887E+00
  8.71744E-01  3.72090E+00
  8.73748E-01  3.72293E+00
  8.75751E-01  3.72494E+00
  8.77756E-01  3.72694E+00
  8.79760E-01  3.72893E+00
  8.81764E-01  3.73091E+00
  8.83768E-01  3.73288E+00
  8.85772E-01  3.73484E+00
  8.87776E-01  3.73679E+00
  8.89780E-01  3.73873E+00
  8.91784E-01  3.74066E+00
  8.93788E-01  3.74257E+00
  8.95792E-01  3.74448E+00
  8.97796E-01  3.74638E+00
  8.99800E-01  3.74827E+00
  9.01804E-01  3.75014E+00
  9.03808E-01  3.75201E+00
  9.05812E-01  3.75387E+00
  9.07816E-01  3.75571E+00
  9.09820E-01  3.75755E+00
  9.11824E-01  3.75938E+00
  9.13828E-01  3.76120E+00
  9.15832E-01  3.76300E+00
  9.17836E-01  3.76480E+00
  9.19840E-01  3.76659E+00
  9.21844E-01  3.76837E+00
  9.23848E-01  3.77014E+00
  9.25852E-01  3.77190E+00
  9.27856E-01  3.77365E+00
  9.29860E-01  3.77539E+00
  9.31864E-01  3.77712E+00
  9.33868E-01  3.77885E+00
  9.35872E-01  3.78056E+00
  9.37876E-01  3.78227E+00
  9.39880E-01  3.78396E+00
  9.41884E-01  3.78565E+00
  9.43888E-01  3.78733E+00
  9.45892E-01  3.78899E+00
  9.47896E-01  3.79065E+00
  9.49900E-01  3.79230E+00
  9.51904E-01  3.79395E+00
  9.53908E-01  3.79558E+00
  9.55912E-01  3.79720E+00
  9.57916E-01  3.79882E+00
  9.59920E-01  3.80043E+00
